"compound","keggid","number","Pathway_Description"
"Sucrose 6-phosphate","C16688","hsa00500","Starch and sucrose metabolism"
"alpha-Maltose 1-phosphate","C20237","hsa00500","Starch and sucrose metabolism"
"GDP-mannose","C00096","hsa00510","N-Glycan biosynthesis"
"Dolichyl phosphate","C00110","hsa00510","N-Glycan biosynthesis"
"Dolichol","C00381","hsa00510","N-Glycan biosynthesis"
"Dolichyl diphosphate","C00621","hsa00510","N-Glycan biosynthesis"
"Dolichyl beta-D-glucosyl phosphate","C01246","hsa00510","N-Glycan biosynthesis"
"Protein asparagine","C03021","hsa00510","N-Glycan biosynthesis"
"Dolichyl phosphate D-mannose","C03862","hsa00510","N-Glycan biosynthesis"
"Polyprenol","C06081","hsa00510","N-Glycan biosynthesis"
"N-Acetyl-D-glucosaminyldiphosphodolichol","G00001","hsa00510","N-Glycan biosynthesis"
"N,N'-Chitobiosyldiphosphodolichol","G00002","hsa00510","N-Glycan biosynthesis"
"NA  G00003","G00003","hsa00510","N-Glycan biosynthesis"
"NA  G00004","G00004","hsa00510","N-Glycan biosynthesis"
"NA  G00005","G00005","hsa00510","N-Glycan biosynthesis"
"NA  G00006","G00006","hsa00510","N-Glycan biosynthesis"
"NA  G00007","G00007","hsa00510","N-Glycan biosynthesis"
"NA  G00008","G00008","hsa00510","N-Glycan biosynthesis"
"NA  G00009","G00009","hsa00510","N-Glycan biosynthesis"
"NA  G00010","G00010","hsa00510","N-Glycan biosynthesis"
"NA  G00011","G00011","hsa00510","N-Glycan biosynthesis"
"NA  G00012","G00012","hsa00510","N-Glycan biosynthesis"
"NA  G00013","G00013","hsa00510","N-Glycan biosynthesis"
"NA  G00014","G00014","hsa00510","N-Glycan biosynthesis"
"NA  G00015","G00015","hsa00510","N-Glycan biosynthesis"
"NA  G00016","G00016","hsa00510","N-Glycan biosynthesis"
"NA  G00017","G00017","hsa00510","N-Glycan biosynthesis"
"DS 3","G00018","hsa00510","N-Glycan biosynthesis"
"NA  G00019","G00019","hsa00510","N-Glycan biosynthesis"
"NA  G00020","G00020","hsa00510","N-Glycan biosynthesis"
"NA  G00021","G00021","hsa00510","N-Glycan biosynthesis"
"NA  G00022","G00022","hsa00510","N-Glycan biosynthesis"
"NA  G00171","G00171","hsa00510","N-Glycan biosynthesis"
"NA  G10526","G10526","hsa00510","N-Glycan biosynthesis"
"NA  G10595","G10595","hsa00510","N-Glycan biosynthesis"
"NA  G10596","G10596","hsa00510","N-Glycan biosynthesis"
"NA  G10597","G10597","hsa00510","N-Glycan biosynthesis"
"NA  G10598","G10598","hsa00510","N-Glycan biosynthesis"
"NA  G10599","G10599","hsa00510","N-Glycan biosynthesis"
"NA  G10694","G10694","hsa00510","N-Glycan biosynthesis"
"[Protein]-L-serine","C02189","hsa00512","Mucin type O-glycan biosynthesis"
"Tn antigen","G00023","hsa00512","Mucin type O-glycan biosynthesis"
"T antigen","G00024","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00025","G00025","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00026","G00026","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00027","G00027","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00028","G00028","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00029","G00029","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00030","G00030","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00031","G00031","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00032","G00032","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00033","G00033","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00034","G00034","hsa00512","Mucin type O-glycan biosynthesis"
"Sialyl-Tn antigen","G00035","hsa00512","Mucin type O-glycan biosynthesis"
"UDP-N-acetyl-D-galactosamine","G10611","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G10794","G10794","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G13153","G13153","hsa00512","Mucin type O-glycan biosynthesis"
"NA  G00011","G00011","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00012","G00012","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00013","G00013","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00014","G00014","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00015","G00015","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00016","G00016","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00017","G00017","hsa00513","Various types of N-glycan biosynthesis"
"NA  G00179","G00179","hsa00513","Various types of N-glycan biosynthesis"
"NA  G01813","G01813","hsa00513","Various types of N-glycan biosynthesis"
"NA  G05477","G05477","hsa00513","Various types of N-glycan biosynthesis"
"NA  G10665","G10665","hsa00513","Various types of N-glycan biosynthesis"
"NA  G10694","G10694","hsa00513","Various types of N-glycan biosynthesis"
"NA  G10716","G10716","hsa00513","Various types of N-glycan biosynthesis"
"NA  G10770","G10770","hsa00513","Various types of N-glycan biosynthesis"
"NA  G10841","G10841","hsa00513","Various types of N-glycan biosynthesis"
"NA  G10920","G10920","hsa00513","Various types of N-glycan biosynthesis"
"NA  G11000","G11000","hsa00513","Various types of N-glycan biosynthesis"
"NA  G11040","G11040","hsa00513","Various types of N-glycan biosynthesis"
"NA  G11933","G11933","hsa00513","Various types of N-glycan biosynthesis"
"NA  G12617","G12617","hsa00513","Various types of N-glycan biosynthesis"
"NA  G12625","G12625","hsa00513","Various types of N-glycan biosynthesis"
"NA  G12626","G12626","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13047","G13047","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13048","G13048","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13049","G13049","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13050","G13050","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13055","G13055","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13056","G13056","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13057","G13057","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13058","G13058","hsa00513","Various types of N-glycan biosynthesis"
"NA  G13059","G13059","hsa00513","Various types of N-glycan biosynthesis"
"CTP","C00063","hsa00515","Mannose type O-glycan biosynthesis"
"CDP-ribitol","C00789","hsa00515","Mannose type O-glycan biosynthesis"
"D-Ribitol 5-phosphate","C01068","hsa00515","Mannose type O-glycan biosynthesis"
"[Protein]-L-serine","C02189","hsa00515","Mannose type O-glycan biosynthesis"
"Dolichyl phosphate D-mannose","G10617","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13026","G13026","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13027","G13027","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13028","G13028","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13082","G13082","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13083","G13083","hsa00515","Mannose type O-glycan biosynthesis"
"O-Mannose core M1","G13084","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13085","G13085","hsa00515","Mannose type O-glycan biosynthesis"
"O-Mannose core M2","G13086","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13087","G13087","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13088","G13088","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13089","G13089","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13090","G13090","hsa00515","Mannose type O-glycan biosynthesis"
"O-mannose core M3","G13091","hsa00515","Mannose type O-glycan biosynthesis"
"Phospho-core M3","G13092","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13093","G13093","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13094","G13094","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13095","G13095","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13096","G13096","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13097","G13097","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13098","G13098","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13099","G13099","hsa00515","Mannose type O-glycan biosynthesis"
"NA  G13100","G13100","hsa00515","Mannose type O-glycan biosynthesis"
"UDP-glucose","C00029","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucose","C00031","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-alpha-D-glucosamine","C00043","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-alpha-D-galactose","C00052","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-mannose","C00096","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucose 1-phosphate","C00103","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CMP-N-acetylneuraminate","C00128","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-D-glucosamine","C00140","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Mannose","C00159","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-glucuronate","C00167","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Xylose","C00181","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-D-xylose","C00190","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucuronate","C00191","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-D-galactosamine","C00203","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Arabinose","C00216","hsa00520","Amino sugar and nucleotide sugar metabolism"
"L-Arabinose","C00259","hsa00520","Amino sugar and nucleotide sugar metabolism"
"alpha-D-Glucose","C00267","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetylneuraminate","C00270","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Mannose 6-phosphate","C00275","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-L-fucose","C00325","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucosamine","C00329","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Galacturonate","C00333","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucosamine 6-phosphate","C00352","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-D-glucosamine 6-phosphate","C00357","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-glucose","C00394","hsa00520","Amino sugar and nucleotide sugar metabolism"
"alpha-D-Galactose 1-phosphate","C00446","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Chitin","C00461","hsa00520","Amino sugar and nucleotide sugar metabolism"
"ADP-glucose","C00498","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-glucose","C00501","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-D-galacturonate","C00617","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Mannose 1-phosphate","C00636","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-D-mannosamine","C00645","hsa00520","Amino sugar and nucleotide sugar metabolism"
"alpha-D-Glucose 6-phosphate","C00668","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Pectin","C00714","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Chitosan","C00734","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-L-arabinose","C00935","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-D-mannuronate","C00976","hsa00520","Amino sugar and nucleotide sugar metabolism"
"alpha-D-Galactose","C00984","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Ferricytochrome b5","C00996","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Ferrocytochrome b5","C00999","hsa00520","Amino sugar and nucleotide sugar metabolism"
"6-Deoxy-L-galactose","C01019","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetylmuramate","C01050","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-D-galactosamine","C01132","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-D-mannosamine","C01170","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-4-dehydro-6-deoxy-D-glucose","C01219","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-4-dehydro-6-deoxy-D-mannose","C01222","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-apiose","C01623","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Chitobiose","C01674","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-abequose","C01788","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-L-rhamnose","C02199","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-L-galactose","C02280","hsa00520","Amino sugar and nucleotide sugar metabolism"
"beta-D-Fructose","C02336","hsa00520","Amino sugar and nucleotide sugar metabolism"
"1,4-beta-D-Xylan","C02352","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Arabinan","C02474","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetylmuramate","C02713","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-6-deoxy-D-talose","C02977","hsa00520","Amino sugar and nucleotide sugar metabolism"
"L-Fucose 1-phosphate","C02985","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-6-deoxy-D-mannose","C03117","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Glycoloyl-neuraminate","C03410","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-3,6-dideoxy-D-glucose","C03598","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-3,6-dideoxy-D-mannose","C03599","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CMP-N-glycoloylneuraminate","C03691","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-alpha-D-galactofuranose","C03733","hsa00520","Amino sugar and nucleotide sugar metabolism"
"beta-L-Arabinose 1-phosphate","C03906","hsa00520","Amino sugar and nucleotide sugar metabolism"
"1-Phospho-alpha-D-galacturonate","C04037","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-4-dehydro-6-deoxy-D-glucose","C04089","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-D-mannosamine 6-phosphate","C04257","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-4-dehydro-3,6-dideoxy-D-glucose","C04297","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-alpha-D-glucosamine 1-phosphate","C04501","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate","C04573","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose","C04613","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose","C04630","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine","C04631","hsa00520","Amino sugar and nucleotide sugar metabolism"
"beta-D-Fructose 6-phosphate","C05345","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucuronate 1-phosphate","C05385","hsa00520","Amino sugar and nucleotide sugar metabolism"
"D-Glucosaminide","C06023","hsa00520","Amino sugar and nucleotide sugar metabolism"
"alpha-D-Glucosamine 1-phosphate","C06156","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-D-mannosaminouronate","C06240","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetylneuraminate 9-phosphate","C06241","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-6-sulfoquinovose","C11521","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N-acetyl-D-galactosaminuronic acid","C13952","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-L-gulose","C15925","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-L-Ara4N","C16153","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-L-Ara4FN","C16154","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-L-Ara4O","C16155","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Undecaprenyl phosphate alpha-L-Ara4FN","C16156","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Undecaprenyl phosphate alpha-L-Ara4N","C16157","hsa00520","Amino sugar and nucleotide sugar metabolism"
"alpha-D-Arabinopyranose 1-phosphate","C16183","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetylmuramic acid 6-phosphate","C16698","hsa00520","Amino sugar and nucleotide sugar metabolism"
"GDP-D-arabinopyranose","C17269","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-4-dehydro-3,6-dideoxy-D-glucose epimer","C17326","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CDP-ascarylose","C17327","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-4-keto-rhamnose","C17328","hsa00520","Amino sugar and nucleotide sugar metabolism"
"N-Acetyl-alpha-D-galactosamine 1-phosphate","C18060","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-L-arabinofuranose","C18094","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate","C19725","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate","C19745","hsa00520","Amino sugar and nucleotide sugar metabolism"
"1,6-Anhydro-N-acetyl-beta-muramate","C19769","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose","C19823","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine","C19961","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose","C19971","hsa00520","Amino sugar and nucleotide sugar metabolism"
"2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose","C19972","hsa00520","Amino sugar and nucleotide sugar metabolism"
"Pseudaminic acid","C20082","hsa00520","Amino sugar and nucleotide sugar metabolism"
"CMP-pseudaminic acid","C20083","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-N,N'-diacetylbacillosamine","C20357","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate","C20359","hsa00520","Amino sugar and nucleotide sugar metabolism"
"UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate","C20395","hsa00520","Amino sugar and nucleotide sugar metabolism"
